ITEM_ID,TITLES
nm0179163,159895
nm0183947,159895
nm0166380,82120
nm0244989,82120
nm0617588,104466 | 133063 | 104462 | 104460 | 104476 | 104700 | 114128 | 104706 | 104704 | 49295 | 49279 | 775 | 195939 | 49273 | 32673 | 2963 | 137757 | 114146 | 49275 | 49277 | 44333 | 16465 | 49280 | 106807 | 44324 | 49296 | 127094 | 127097 | 96186 | 44342 | 44335 | 44327 | 49298 | 44328 | 195948 | 96701 | 104469 | 104474 | 190682 | 127098 | 44449 | 103973 | 104922 | 104702 | 190683 | 122036 | 114145 | 161504 | 106038 | 195311 | 108289 | 130015 | 104471
nm0194945,104466 | 133063 | 104700 | 104706 | 2963 | 49275 | 106807 | 104469 | 104702 | 114145 | 114108 | 104477 | 195954
nm6170115,133063
nm9342429,104460 | 49271
nm0577734,104460
nm3029234,104460 | 104474
nm0076933,775 | 32673 | 49275 | 114108
nm0029244,775
nm1215996,775
nm0214243,32673 | 185223 | 94814
nm0243651,32673
nm0016317,2963 | 114146 | 114145
nm8706003,2963
nm0925513,49275 | 144436
nm9636954,104474
nm0525908,129865
nm1333156,114108
nm1778224,114108
nm1778292,114108
nm0103641,104477
nm0617587,49271 | 235932
nm2083046,49271 | 235932
nm0165223,49271
nm0809419,179235 | 105168
nm0338379,179235
nm2940072,105168 | 179236
nm2940350,105168
nm0335788,52029 | 297870 | 69698 | 596 | 17382 | 18539
nm0066325,52029 | 120977 | 114888 | 245976
nm0000075,52029 | 3022 | 16515 | 43155 | 164687 | 43881 | 84337 | 96702 | 33025 | 20758 | 22968 | 79372 | 109886 | 42390 | 27998 | 150712 | 1908 | 20640 | 31773 | 821 | 121006 | 55604 | 89086 | 43805 | 11576 | 57993 | 94959 | 180403 | 72602 | 14554 | 33034 | 24203 | 42822 | 43811 | 14615 | 184955 | 43306 | 85574 | 18770 | 31998 | 108688 | 87531 | 33792 | 25431 | 43962 | 36634 | 33575 | 90968 | 98364 | 42328 | 56156 | 11331 | 31916 | 1879
